Date,Value
2016-12-20,120
2016-12-21,146
2016-12-22,196
2016-12-23,159
2016-12-24,131
2016-12-25,82
2016-12-26,112
2016-12-27,144
2016-12-28,139
2016-12-29,110
2016-12-30,125
2016-12-31,92
